Airport_ID,Name,Type,IATA
312336,Upiara Airport,small_airport,UPR
312427,Uvol Airport,small_airport,UVO
314791,Talasea Airport,small_airport,TLW
312309,Torembi Airport,small_airport,TCJ
69,Vanimo Airport,medium_airport,VAI
312307,Tonu Airport,small_airport,TON
307286,Wabo Airport,small_airport,WAO
70,Wapenamanda Airport,medium_airport,WBM
316464,Wawoi Falls Airport,small_airport,WAJ
71,Wewak International Airport,medium_airport,WWK
307586,Wonenara Airport,small_airport,WOA
320097,Wakunai Airport,small_airport,WKN
307291,Wasu Airport,small_airport,WSU
307247,Woitape Airport,small_airport,WTP
307290,Wau Airport,small_airport,WUG
311042,Yeva Airport,small_airport,YVD
312056,Sim Airport,small_airport,SMJ
316476,Weam Airport,small_airport,WEP
313341,Yalumet Airport,small_airport,KYX
312469,Yasuru Airport,small_airport,KSX
315022,Wasum Airport,small_airport,WUM
44941,Zabrat Airport,medium_airport,ZXT
16403,Lava Falls Heliport,heliport,HAE
301690,Amazon Bay Airport,small_airport,AZB
301840,Bali Airport,small_airport,BAJ
313775,Baibara Airport,closed,BAP
45961,Branson Airport,small_airport,BKG
301857,Baca Grande Airfield,closed,BCJ
301858,Bambu Airport,small_airport,BCP
301872,Milyakburra Airport,small_airport,BCZ
16495,Willmar Municipal -John L Rice Field,small_airport,ILL
301874,Baindoung Airport,small_airport,BDZ
312756,Bereina Airport,closed,BEA
301881,Berlin Brandenburg Airport (U.C.),closed,BER
31597,Malevo Airport,small_airport,HKV
111,Bezmer Air Base,medium_airport,JAM
31697,Aasiaat Airport,medium_airport,JEG
43214,Aappilattoq (Qaasuitsup) Heliport,heliport,AOQ
42247,Tasiilaq Heliport,heliport,AGM
35285,Alluitsup Paa Heliport,heliport,LLU
35286,Attu Heliport,heliport,QGQ
113,Narsarsuaq Airport,medium_airport,UAK
35299,Qasigiannguit Heliport,heliport,JCH
30839,Neerlerit Inaat Airport,small_airport,CNP
312829,Dundas Airport,closed,DUN
44052,Eqalugaarsuit Heliport,heliport,QFG
114,Godthaab / Nuuk Airport,medium_airport,GOH
35300,Qeqertarsuaq Heliport,heliport,JGO
44054,Iginniarfik,heliport,QFI
35290,Ikerassaarsuk Heliport,heliport,QRY
35291,Ilimanaq Heliport,heliport,XIQ
44056,Innarsuit Heliport,heliport,IUI
44057,Isortoq Heliport,heliport,IOQ
35289,Ikamiut Heliport,heliport,QJI
35298,Qaqortoq Heliport,heliport,JJU
31694,Ilulissat Airport,small_airport,JAV
35292,Kangaatsiaq Heliport,heliport,QPW
31786,Kulusuk Airport,small_airport,KUS
44060,Kuummiut Heliport,heliport,KUZ
43218,Kullorsuaq Heliport,heliport,KHQ
43217,Kangersuatsiaq Heliport,heliport,KGQ
35293,Kitsissuarsuit Heliport,heliport,QJE
31711,Maniitsoq Airport,small_airport,JSU
35294,Nanortalik Heliport,heliport,JNN
35295,Narsaq Heliport,heliport,JNS
44063,Niaqornat Heliport,heliport,NIQ
43220,Nuussuaq Heliport,heliport,NSQ
312228,Bongo Airport,small_airport,BGP
44065,Paamiut Airport,small_airport,JFR
43221,Qeqertaq Heliport,heliport,QQT
32004,Qaanaaq Airport,small_airport,NAQ
44058,Ittoqqortoormiit Heliport,heliport,OBY
115,Kangerlussuaq Airport,medium_airport,SFJ
44070,Siorapaluk Heliport,heliport,SRK
31700,Sisimiut Airport,small_airport,JHS
44068,Savissivik Heliport,heliport,SVR
44075,Tasiusaq (Qaasuitsup) Heliport,heliport,TQA
116,Thule Air Base,medium_airport,THU
44076,Tiniteqilaaq Heliport,heliport,TQI
31713,Upernavik Airport,small_airport,JUV
43225,Uummannaq Heliport,heliport,UMD
31709,Qaarsut Airport,small_airport,JQA
43223,Ukkusissat Heliport,heliport,JUK
30705,Bahía de los Ángeles Airport,small_airport,BHL
302410,Brighton Downs Airport,small_airport,BHT
117,Akureyri Airport,medium_airport,AEY
118,Bildudalur Airport,small_airport,BIU
30700,Borgarfjörður eystri Airport,small_airport,BGJ
30759,Bakkafjörður Airport,small_airport,BJD
30771,Hjaltabakki Airport,small_airport,BLO
30789,Búðardalur Airport,small_airport,BQD
30807,Breiðdalsvík Airport,small_airport,BXV
30922,Djúpivogur Airport,small_airport,DJU
119,Egilsstaðir Airport,medium_airport,EGS
