Airport_ID,Name,Type,City,Country_Code,IATA,Latitude,Longitude,Altitude
194,Ourilândia do Norte Airport,small_airport,Ourilândia do Norte,BR,OIA,-6.763100147250001,-51.0499000549,901
30289,Presidente Venceslau Airport,small_airport,Presidente Venceslau,BR,0,-21.893299102783203,-51.8843994140625,1460
197,Piracicaba Airport,small_airport,Piracicaba,BR,QHB,-22.71150016784668,-47.61819839477539,1887
32276,Fazenda das Represas Airport,small_airport,São Miguel Arcanjo,BR,0,-23.875600814819336,-48.05179977416992,2271
30338,Rio Claro Airport,small_airport,Rio Claro,BR,QIQ,-22.430104,-47.562113,1991
200,Resende Airport,small_airport,Resende,BR,REZ,-22.4785003662,-44.4803009033,1320
201,Mário Pereira Lopes–São Carlos Airport,small_airport,São Carlos,BR,QSC,-21.875401,-47.903703,2649
30221,Fazenda São João Airport,small_airport,Orlândia,BR,0,-20.7455997467041,-47.93360137939453,2172
30503,Fazenda Cataco Airport,small_airport,Ubarana,BR,0,-21.263599395751953,-49.79309844970703,1447
206,Ubatuba Airport,small_airport,Ubatuba,BR,UBT,-23.441099166870117,-45.075599670410156,13
208,Itaperuna Airport,small_airport,Itaperuna,BR,ITP,-21.219299316399997,-41.8759002686,410
211,Votuporanga Airport,small_airport,Votuporanga,BR,VOT,-20.463199615478516,-50.00450134277344,1667
30410,Fazenda Vassoural Airport,small_airport,Pontal,BR,0,-21.072799682617188,-48.03419876098633,1801
32187,Limeira Airport,small_airport,Limeira,BR,QGB,-22.603889,-47.411944,2172
35836,Zona da Mata Regional Airport,medium_airport,Juiz De Fora,BR,IZA,-21.5130558014,-43.1730575562,1348
316498,Scandinavian Mountains Airport,medium_airport,Sälen and Trysil,SE,SCR,61.159092,12.840676,1608
6051,Chachoán Airport,medium_airport,Ambato,EC,ATF,-1.2120699882507324,-78.57460021972656,8502
6053,Francisco De Orellana Airport,medium_airport,Coca,EC,OCC,-0.4628860056400299,-76.98680114746094,834
6054,Mariscal Lamar Airport,medium_airport,Cuenca,EC,CUE,-2.88947,-78.984398,8306
6055,Seymour Airport,small_airport,Baltra,EC,GPS,-0.45375800132751465,-90.26589965820312,207
6056,José Joaquín de Olmedo International Airport,medium_airport,Guayaquil,EC,GYE,-2.1574199199699997,-79.88359832760001,19
41131,General Villamil Airport,small_airport,Isabela,EC,IBB,-0.942628026009,-90.9530029297,35
41119,Jipijapa Airport,small_airport,Jipijapa,EC,JIP,-1,-80.66666412353516,223
6061,Cotopaxi International Airport,large_airport,Latacunga,EC,LTX,-0.906833,-78.615799,9205
6062,Jose Maria Velasco Ibarra Airport,medium_airport,Macará,EC,MRR,-4.37823009491,-79.94100189210002,1508
6063,Coronel E Carvajal Airport,medium_airport,Macas,EC,XMS,-2.2991700172424316,-78.12079620361328,3452
6064,General Manuel Serrano Airport,medium_airport,Machala,EC,MCH,-3.2689,-79.961601,11
6066,Eloy Alfaro International Airport,medium_airport,Manta,EC,MEC,-0.9460780024528503,-80.67880249023438,48
32277,Nueva Loja Airport,small_airport,Lago Agrio,EC,LGQ,0.0930560007691,-76.86750030520001,980
41130,Putumayo Airport,small_airport,Puerto Putumayo,EC,PYO,0.115949,-75.85022,733
6071,Reales Tamarindos Airport,medium_airport,Portoviejo,EC,PVO,-1.0416500568389893,-80.47219848632812,130
308273,Mariscal Sucre International Airport,large_airport,Quito,EC,UIO,-0.129166666667,-78.3575,7841
6075,Santa Rosa International Airport,medium_airport,Santa Rosa,EC,ETR,-3.441986,-79.996957,20
6076,General Ulpiano Paez Airport,medium_airport,Salinas,EC,SNC,-2.20499,-80.988899,18
32391,Sucua Airport,small_airport,Sucua,EC,SUQ,-2.4830000400543213,-78.16699981689453,3116
6078,Rio Amazonas Airport,small_airport,Shell Mera,EC,PTZ,-1.5052399635299998,-78.0626983643,3465
6079,San Cristóbal Airport,small_airport,San Cristóbal,EC,SCY,-0.910206,-89.617401,62
6080,Los Perales Airport,small_airport,Bahía de Caraquez,EC,BHA,-0.6081110239028931,-80.40270233154297,10
32477,Taisha Airport,small_airport,Taisha,EC,TSC,-2.3816699981689453,-77.50279998779297,1669
32473,Tiputini Airport,small_airport,Tiputini,EC,TPN,-0.7761110067367554,-75.52639770507812,997
6083,Camilo Ponce Enriquez Airport,small_airport,La Toma (Catamayo),EC,LOH,-3.99589,-79.371902,4056
6084,General Rivadeneira Airport,small_airport,Tachina,EC,ESM,0.9785190224647522,-79.62660217285156,32
6085,Tarapoa Airport,medium_airport,Tarapoa,EC,TPC,-0.12295600026845932,-76.33779907226562,814
6086,Teniente Coronel Luis a Mantilla Airport,medium_airport,Tulcán,EC,TUA,0.8095059990882874,-77.70809936523438,9649
6087,Port Stanley Airport,medium_airport,Stanley,FK,PSY,-51.685699462891,-57.777599334717,75
314610,San Fernando Airport,closed,Los Angeles,US,SFR,34.289,-118.422,1168
307121,Safia Airport,small_airport,Safia,PG,SFU,-9.59305555556,148.636111111,430
6088,Silvio Pettirossi International Airport,medium_airport,Asunción,PY,ASU,-25.239999771118164,-57.52000045776367,292
6089,Juan De Ayolas Airport,medium_airport,Ayolas,PY,AYO,-27.370554,-56.854064,223
6090,Teniente Col Carmelo Peralta Airport,small_airport,Concepción,PY,CIO,-23.442363,-57.427253,253
29851,Encarnación Airport,small_airport,Encarnación,PY,ENO,-27.227366,-55.837495,659
6091,Guarani International Airport,medium_airport,Ciudad del Este,PY,AGT,-25.454516,-54.842682,846
31157,Filadelfia Airport,small_airport,Filadelfia,PY,FLM,-22.360477,-60.053604,423
6093,Dr. Luis Maria Argaña International Airport,medium_airport,Mariscal Estigarribia,PY,ESG,-22.049999237060547,-60.619998931884766,553
6094,Carlos Miguel Gimenez Airport,medium_airport,Pilar,PY,PIL,-26.881224,-58.318026,249
6095,Dr Augusto Roberto Fuster International Airport,small_airport,Pedro Juan Caballero,PY,PJC,-22.639999389648438,-55.83000183105469,1873
29865,Fazenda Palmital Airport,small_airport,Morro Agudo,BR,0,-20.696399688720703,-48.286399841308594,1709
316552,San José Island Airport,small_airport,Las Perlas,PA,SIC,8.2622,-79.078,150
29923,Doutor Heráclito da Motta Luiz Airport,small_airport,Guaíra,BR,0,-20.4330997467041,-48.22439956665039,1798
36081,Municipal Bom Futuro Airport,small_airport,Lucas do Rio Verde,BR,LVR,-13.037861,-55.95025,1345
231,Tenente Lund Pressoto Airport,small_airport,Franca,BR,FRC,-20.592199,-47.3829,3292
29977,Santa Paula Airport,small_airport,Ipiguá,BR,0,-20.703899383544922,-49.39139938354492,1860
307637,Sissano Airport,small_airport,Sissano,PG,SIZ,-2.99944444444,142.0445,27
36411,Inácio Luís do Nascimento Airport,small_airport,Juara,BR,JUA,-11.2966,-57.5495,870
309465,Cruz Bay Seaplane Base,seaplane_base,Saint John Island,VI,SJF,18.3315,-64.796,0
30824,Confresa Airport,small_airport,Confresa,BR,CFO,-10.634400367736816,-51.5635986328125,781
36730,Novo Progresso Airport,small_airport,Novo Progresso,BR,NPR,-7.125833,-55.400833,794
44713,Rio Grande Airport,small_airport,Rio Grande,BR,RIG,-32.081699,-52.163299,27
32305,Bauru - Arealva Airport,medium_airport,Bauru,BR,JTC,-22.166859140899998,-49.0502866745,1949
36924,Aragarças Airport,small_airport,Aragarças,BR,ARS,-15.8994,-52.2411,1061
41025,Arica Airport,small_airport,Arica,CO,ACM,-2.14543733597,-71.7580604553,316
41037,El Encanto Airport,small_airport,El Encanto,CO,ECO,-1.7533333333299999,-73.20472222219999,420
41073,Arboletes Airport,small_airport,Arboletes,CO,ARO,8.85705,-76.4244,13
41075,Jurado Airport,small_airport,Jurado,CO,JUO,6.516667,-76.6,2184
41074,San Juan De Uraba Airport,small_airport,San Juan De Uraba,CO,SJR,8.766667,-76.533333,10
41072,San Pedro Airport,small_airport,San Pedro de Urabá,CO,NPU,8.28597,-76.380386,420
41060,Puerto Rico Airport,small_airport,Puerto Rico,CO,PCC,1.916667,-75.166667,980
41062,Solano Airport,small_airport,Solano,CO,SQF,0.702022,-75.2505,860
41029,Yari Airport,small_airport,Yari,CO,AYI,-0.383333,-72.266667,569
40726,Aguaclara Airport,small_airport,Aguaclara,CO,ACL,4.753611,-73.002778,1090
41027,Currillo Airport,small_airport,Currillo,CO,CUI,4.666667,-72,495
41032,Monterrey Airport,small_airport,Monterrey,CO,MOY,4.906926,-72.894809,1500
41036,Paratebueno Airport,small_airport,Paratebueno,CO,EUO,4.383333,-73.2,820
41026,Pore Airport,small_airport,Pore,CO,PRE,5.733333,-71.983333,975
41023,San Luis De Palenque Airport,small_airport,San Luis De Palenque,CO,SQE,5.400181,-71.7001,551
41031,Tauramena Airport,small_airport,Tauramena,CO,TAU,5.01281,-72.7424,1462
41044,Ayacucho Airport,small_airport,Ayacucho,CO,AYC,8.6,-73.616667,415
41042,Codazzi Airport,small_airport,Hacienda Borrero,CO,DZI,9.6,-73.45,439
40751,Las Flores Airport,small_airport,Codazzi,CO,DZI,10.096608,-73.2337,399
41035,San Juan Del César Airport,small_airport,San Juan Del César,CO,SJH,10.766667,-73.016667,3608
41080,Bahia Cupica Airport,small_airport,Bahía Cupica,CO,BHF,6.55,-77.3263,200
41078,Gilgal Airport,small_airport,Villa Claret,CO,GGL,8.333333,-77.083333,148
41079,Unguia Airport,small_airport,Arquia,CO,UNC,8.033333,-77.083333,120
41059,Ayapel Airport,small_airport,Ayapel,CO,AYA,8.3,-75.15,120
40570,Barranco Minas Airport,small_airport,Barranco Minas,CO,NBB,3.483333,-69.8,430
41038,Medina Airport,small_airport,Medina,CO,MND,4.516667,-73.283333,1315
41010,Macanal Airport,small_airport,Macanal,CO,NAD,2.566667,-67.583333,327
41058,Guacamayas Airport,small_airport,Guacamayas,CO,GCA,2.283333,-74.95,1500
41061,Santana Ramos Airport,small_airport,Santana Ramos,CO,SRO,2.216667,-75.25,6017
41033,Barranca De Upia Airport,small_airport,Barranca De Upia,CO,BAC,4.583333,-72.966667,670
41049,Caquetania Airport,small_airport,Caquetania,CO,CQT,2.033333,-74.216667,900
41048,El Recreo Airport,small_airport,Ruperto Polania,CO,ELJ,2,-74.133333,900
41046,El Refugio/La Macarena Airport,small_airport,La Macarena,CO,LMC,2.1736,-73.7862,793
41024,Solita Airport,small_airport,Solita,CO,SOH,3.016667,-71.75,652
41051,Uribe Airport,small_airport,Uribe,CO,URI,3.216667,-74.4,2750
41084,El Charco Airport,small_airport,El Charco,CO,ECR,2.44944444444,-78.0941666667,25
41086,Mosquera Airport,small_airport,Mosquera,CO,MQR,2.64955,-78.3361,50
41004,Santa Bárbara Airport,small_airport,Iscuandé,CO,ISD,2.445825,-77.981753,10
41039,Zapatoca Airport,small_airport,Zapatoca,CO,AZT,6.816667,-73.283333,6377
41067,Herrera Airport,small_airport,Campiña,CO,HRR,3.216667,-75.85,5740
40901,Santa Ana Airport,small_airport,Piedras,CO,SQB,4.408333,-75.021667,2192
41071,La Primavera Airport,small_airport,Costa Rica,CO,LPE,3.733333,-76.216667,3600
41015,Acaricuara Airport,small_airport,Acaricuara,CO,ARF,0.533333,-70.133333,587
41013,Monfort Airport,small_airport,Monfort,CO,MFB,0.633333,-69.75,630
41014,Morichal Airport,small_airport,Morichal,CO,MHF,1.75,-69.916667,552
41011,Casuarito Airport,small_airport,Casuarito,CO,CSR,5.833333,-68.133333,245
40596,La Primavera Airport,small_airport,La Primavera,CO,LPE,5.4776,-70.4212,390
30615,Araracuara Airport,small_airport,Araracuara,CO,ACR,-0.5833,-72.4083,1250
30613,Alcides Fernández Airport,small_airport,Acandí,CO,ACD,8.51667,-77.3,50
30620,Amalfi Airport,small_airport,Amalfi,CO,AFI,6.91667,-75.0667,5507
41068,Andes Airport,closed,Andes,CO,ADN,5.69764,-75.88038,3900
6098,Gomez Nino Apiay Air Base,medium_airport,Apiay,CO,API,4.07607,-73.5627,1207
6099,El Eden Airport,medium_airport,Armenia,CO,AXM,4.45278,-75.7664,3990
6100,Tres De Mayo Airport,medium_airport,Puerto Asís,CO,PUU,0.505228,-76.5008,815
6101,Las Flores Airport,medium_airport,El Banco,CO,ELB,9.04554,-73.9749,111
6102,Palonegro Airport,medium_airport,Bucaramanga,CO,BGA,7.1265,-73.1848,3897
6104,El Dorado International Airport,large_airport,Bogota,CO,BOG,4.70159,-74.1469,8361
6105,Ernesto Cortissoz International Airport,medium_airport,Barranquilla,CO,BAQ,10.8896,-74.7808,98
6106,José Celestino Mutis Airport,medium_airport,Bahía Solano,CO,BSC,6.20292,-77.3947,80
6107,Gerardo Tobar López Airport,medium_airport,Buenaventura,CO,BUN,3.81963,-76.9898,48
30845,Capurganá Airport,small_airport,Capurganá,CO,CPB,8.63333,-77.35,49
6108,Camilo Daza International Airport,medium_airport,Cúcuta,CO,CUC,7.92757,-72.5115,1096
30842,Mandinga Airport,small_airport,Condoto,CO,COG,5.08333,-76.7,213
6109,Rafael Nuñez International Airport,medium_airport,Cartagena,CO,CTG,10.4424,-75.513,4
30816,Carimagua Airport,small_airport,Puerto López,CO,CCO,4.56417,-71.3364,700
6110,Alfonso Bonilla Aragon International Airport,medium_airport,Cali,CO,CLO,3.54322,-76.3816,3162
30831,Cimitarra Airport,small_airport,Cimitarra,CO,CIM,6.367,-73.967,740
6111,Cravo Norte Airport,small_airport,Cravo Norte,CO,RAV,6.31684,-70.2107,341
6112,La Florida Airport,medium_airport,Tumaco,CO,TCO,1.81442,-78.7492,8
30862,Carurú Airport,small_airport,Carurú,CO,CUO,1.0136,-71.2961,820
6113,Juan H White Airport,medium_airport,Caucasia,CO,CAQ,7.96847,-75.1985,174
6114,Coveñas Airport,medium_airport,Coveñas,CO,CVE,9.40092,-75.6913,31
6115,Las Brujas Airport,medium_airport,Corozal,CO,CZU,9.33274,-75.2856,528
6116,El Bagre Airport,medium_airport,El Bagre,CO,EBG,7.59647,-74.8089,180
6117,Yariguíes Airport,medium_airport,Barrancabermeja,CO,EJA,7.02433,-73.8068,412
6118,Gustavo Artunduaga Paredes Airport,medium_airport,Florencia,CO,FLA,1.58919,-75.5644,803
31104,Fundación Airport,small_airport,Fundación,CO,FDA,10.5333,-74.2,150
6120,Santiago Vila Airport,medium_airport,Girardot,CO,GIR,4.27624,-74.7967,900
6121,Santa Ana Airport,medium_airport,Cartago,CO,CRC,4.75818,-75.9557,2979
6122,Juan Casiano Airport,medium_airport,Guapi,CO,GPI,2.57013,-77.8986,164
30847,Chaparral Airport,small_airport,Chaparral,CO,CPL,3.717,-75.467,2730
31651,Hato Corozal Airport,small_airport,Hato Corozal,CO,HTZ,6.15,-71.75,820
6124,Perales Airport,medium_airport,Ibagué,CO,IBE,4.42161,-75.1333,2999
31666,Chigorodó Airport,small_airport,Chigorodó,CO,IGO,7.68038,-76.6865,110
6126,San Luis Airport,medium_airport,Ipiales,CO,IPI,0.861925,-77.6718,9765
309459,Sitkinak Airport,closed,Sitkinak Island,US,SKJ,56.5378,-154.1412,65
6127,Antonio Roldan Betancourt Airport,medium_airport,Carepa,CO,APO,7.81196,-76.7164,46
6128,Caucaya Airport,small_airport,Puerto Leguízamo,CO,LQM,-0.182278,-74.7708,573
6129,Jorge Isaac Airport,medium_airport,La Mina-Maicao,CO,MCJ,11.2325,-72.4901,281
31844,La Pedrera Airport,small_airport,La Pedrera,CO,LPD,-1.32861,-69.5797,590
6130,Alfredo Vásquez Cobo International Airport,medium_airport,Leticia,CO,LET,-4.19355,-69.9432,277
6132,Enrique Olaya Herrera Airport,medium_airport,Medellín,CO,EOH,6.220549,-75.590582,4949
31896,Miraflores Airport,small_airport,Miraflores,CO,MFS,1.35,-71.9444,730
6134,Baracoa Airport,medium_airport,Magangué,CO,MGN,9.28474,-74.8461,178
6136,Montelibano Airport,small_airport,Montelíbano,CO,MTB,7.97174,-75.4325,160
6138,Los Garzones Airport,medium_airport,Montería,CO,MTR,8.82374,-75.8258,36
6139,Fabio Alberto Leon Bentley Airport,medium_airport,Mitú,CO,MVP,1.25366,-70.2339,680
6140,La Nubia Airport,medium_airport,Manizales,CO,MZL,5.0296,-75.4647,6871
32010,Necocli Airport,small_airport,Necocli,CO,NCI,8.45,-76.7833,19
32314,Reyes Murillo Airport,small_airport,Nuquí,CO,NQU,5.6964,-77.2806,12
6141,Benito Salas Airport,medium_airport,Neiva,CO,NVA,2.95015,-75.294,1464
6142,Aguas Claras Airport,medium_airport,Ocaña,CO,OCV,8.31506,-73.3583,3850
32126,Orocue Airport,small_airport,Orocue,CO,ORC,4.79222,-71.3564,434
6143,Otu Airport,closed,Remedios,CO,OTU,7.01037,-74.7155,2060
6146,German Olano Airport,medium_airport,Puerto Carreño,CO,PCR,6.18472,-67.4932,177
6147,Obando Airport,medium_airport,Puerto Inírida,CO,PDA,3.85353,-67.9062,460
6148,Matecaña International Airport,medium_airport,Pereira,CO,PEI,4.81267,-75.7395,4416
6149,Pitalito Airport,medium_airport,Pitalito,CO,PTX,1.85777,-76.0857,4212
32165,Plato Airport,small_airport,Plato,CO,PLT,9.8,-74.7833,69
6150,Puerto Nare Airport,small_airport,Armenia,CO,NAR,6.21002,-74.5906,476
6151,Guillermo León Valencia Airport,medium_airport,Popayán,CO,PPN,2.4544,-76.6093,5687
6152,German Olano Air Base,medium_airport,La Dorada,CO,PAL,5.48361,-74.6574,566
6153,Puerto Berrio Airport,small_airport,Puerto Berrio,CO,PBE,6.46034,-74.4105,445
6154,Antonio Narino Airport,medium_airport,Pasto,CO,PSO,1.39625,-77.2915,5951
6155,El Embrujo Airport,medium_airport,Providencia,CO,PVA,13.3569,-81.3583,10
6156,Paz De Ariporo Airport,medium_airport,Paz De Ariporo,CO,PZA,5.87615,-71.8866,900
6157,Mariquita Airport,medium_airport,Mariquita,CO,MQU,5.21256,-74.8836,1531
6158,Jose Maria Córdova International Airport,medium_airport,Medellín,CO,MDE,6.16454,-75.4231,6955
6159,Almirante Padilla Airport,medium_airport,Riohacha,CO,RCH,11.5262,-72.926,43
32318,Los Colonizadores Airport,small_airport,Saravena,CO,RVE,6.951868,-71.857179,680
6160,Jorge E. Gonzalez Torres Airport,medium_airport,San José Del Guaviare,CO,SJE,2.57969,-72.6394,605
316777,Santa Rosalia Airport,small_airport,Santa Rosalia,CO,SSL,5.1309,-70.8682,400
6161,Simón Bolívar International Airport,medium_airport,Santa Marta,CO,SMR,11.1196,-74.2306,22
6162,Alberto Lleras Camargo Airport,small_airport,Sogamoso,CO,SOX,5.67732,-72.9703,8155
6163,Gustavo Rojas Pinilla International Airport,medium_airport,San Andrés,CO,ADZ,12.5836,-81.7112,19
314727,San Marcos Airport,small_airport,San Marcos,CO,SRS,8.69,-75.156,140
6164,Eduardo Falla Solano Airport,medium_airport,San Vicente Del Caguán,CO,SVI,2.15217,-74.7663,920
6165,Tibú Airport,small_airport,Tibú,CO,TIB,8.63152,-72.7304,194
32429,Trinidad Airport,small_airport,Trinidad,CO,TDA,5.43278,-71.6625,649
32460,Golfo de Morrosquillo Airport,small_airport,Tolú,CO,TLU,9.50945,-75.5854,16
6168,Gustavo Vargas Airport,medium_airport,Tame,CO,TME,6.45108,-71.7603,1050
